dataset,description,S_MSE,I_MSE,R_MSE,D_MSE,S_RMSE,I_RMSE,R_RMSE,D_RMSE,S_MAE,I_MAE,R_MAE,D_MAE,beta_pred,gamma_pred,mu_pred,beta_true,beta_rel_error,beta_rel_error_percent,gamma_true,gamma_rel_error,gamma_rel_error_percent,mu_true,mu_rel_error,mu_rel_error_percent
01_baseline_constant,Базовый (константы),92.38725895214614,3.7351377624371107,242.45954749681093,29.629028705598017,9.611829115841903,1.9326504501427852,15.571112596626193,5.443255340841363,7.194699541005931,1.2660218916499597,11.235079528257257,4.016608736258528,0.10008455377642123,0.06001138032445885,0.0041407514977654936,0.1,0.0008455377642122008,0.08455377642122008,0.06,0.00018967207431423255,0.018967207431423255,0.003,0.38025049925516446,38.02504992551645
02_lockdown_beta_jump,Локдаун (скачок β),11.445090932778987,0.176141839758183,2.952441285918687,0.013580710548015849,3.3830594042639848,0.4196925538512484,1.718266942567041,0.11653630570777439,2.4912981225285398,0.31017336272498547,1.1737346374824806,0.07978774046406788,0.06771587657091915,0.06172599395742906,0.003604107794111855,,,,,,,,,
03_seasonal_beta_sin,Сезонность (плавная β),1183.1160261734003,147.39087388454317,777.4136965210574,19.656287813133467,34.39645368600374,12.140464319149542,27.882139382067823,4.433541227183239,26.845828362642553,7.218378432764449,21.117724673652106,3.1523913850695235,0.10847882636360368,0.05918815949306633,0.003421439154871697,,,,,,,,,
04_decaying_beta_trend,Затухание (β 0.15→0.1),35.01836389044057,0.6499702424147635,58.534842995286205,0.2041247504326956,5.917631611585886,0.8062073197476959,7.65080668918554,0.4518016715691694,5.134754688532233,0.5297056562536786,5.825955703938458,0.34501559480726046,0.13964804167579764,0.06013908168583121,0.0031340298296853586,,,,,,,,,
05_complex_beta_gamma_dynamics,Сложный (β+γ),3315.586681830405,110.39570942100693,3083.706438754042,0.44577238741922603,57.58113130036961,10.506936252828744,55.53113035725135,0.6676618810589878,43.612482001949914,5.353605585850389,40.52073359563548,0.5002524871015467,0.0967258661180933,0.063194894966219,0.003989550167822209,,,,,,,,,
02_lockdown_beta_jump_noise_3pct_seed42,Локдаун + шум 3%,9.688443558440525,0.26890787756726703,2.0619598163812163,0.06448038212940105,3.1126264726819577,0.51856328212405,1.4359525815225294,0.25392987640173625,2.3324797488707243,0.38076132887848,1.0098056273410756,0.20463585819826938,0.06811470914790269,0.062051165128679475,0.0036372078693371335,,,,,,,,,
02_lockdown_beta_jump_noise_5pct_seed123,Локдаун + шум 5%,15.241885684998834,0.4775625533267344,5.406157275797474,0.02210465050636553,3.9040857681407095,0.6910590085707113,2.325114465095745,0.14867632799597094,2.8567139642853707,0.5566437832598512,1.6071721968713,0.11892947591583189,0.06737717167745483,0.06144515470079964,0.003518048819350139,,,,,,,,,
02_lockdown_beta_jump_noise_10pct_seed456,Локдаун + шум 10%,3.9980986908632414,1.3239318330639565,0.0827212045500464,0.08335958929718604,1.9995246162183753,1.1506223677053895,0.287612942250599,0.28872060767667074,1.5501865842225102,0.8923947476653685,0.21822455394962714,0.23000493692139215,0.06669668850353755,0.06070709572854599,0.0036415868381246552,,,,,,,,,
05_complex_beta_gamma_dynamics_noise_3pct_seed42,Сложный + шум 3%,3199.262831492209,120.59381851169414,3142.0085558503556,13.986187721132987,56.56202640899819,10.981521684707186,56.053622147461226,3.739811187898794,42.852002996738904,6.313186727955724,40.82613159521173,3.0972584850862708,0.09717930940346337,0.06301904690562837,0.004492823340808749,,,,,,,,,
05_complex_beta_gamma_dynamics_noise_5pct_seed123,Сложный + шум 5%,3456.777561054849,130.56116410336878,3091.1376601317884,2.095600136157468,58.7943667459294,11.426336425266358,55.598000504800424,1.4476187813638879,44.582037765685925,7.2600345585432455,40.74227349596866,1.1226276114004705,0.09606171535588448,0.06305786708335581,0.0038286019032453544,,,,,,,,,
05_complex_beta_gamma_dynamics_noise_10pct_seed456,Сложный + шум 10%,6712.728411785585,220.73391565039654,6765.4065947276,10.510533214182404,81.93124197634005,14.857116666782844,82.2520917346641,3.24199525202959,62.054758860835236,10.231976133428603,60.629089654429094,2.5070187047180967,0.09212309650507661,0.061920559066176384,0.0040099660409722016,,,,,,,,,
