dataset,description,S_MSE,I_MSE,R_MSE,D_MSE,S_RMSE,I_RMSE,R_RMSE,D_RMSE,S_MAE,I_MAE,R_MAE,D_MAE,beta_pred,gamma_pred,mu_pred,beta_true,beta_rel_error,beta_rel_error_percent,gamma_true,gamma_rel_error,gamma_rel_error_percent,mu_true,mu_rel_error,mu_rel_error_percent
01_baseline_constant,Базовый (константы),1888.1464159457453,48.755504730624686,2850.033474292823,39.130597491469835,43.4528067671784,6.982514212704811,53.38570477471308,6.25544542710348,32.864195402262396,4.422713857031663,38.94269688254369,4.762233778759215,0.09955604781155658,0.061888858655490875,0.005203966636530166,0.1,0.00443952188443425,0.443952188443425,0.06,0.03148097759151462,3.148097759151462,0.003,0.7346555455100554,73.46555455100554
02_lockdown_beta_jump,Локдаун (скачок β),15.540818138239288,0.1643017592138915,3.1369007874297763,0.022931597390280483,3.9421844373696278,0.4053415340350548,1.771129805358652,0.15143182423216225,2.992520589671783,0.30660932667595275,1.2270410542892878,0.10946619399324317,0.06790172197097616,0.06170460562248814,0.0036680989958890464,,,,,,,,,
03_seasonal_beta_sin,Сезонность (плавная β),13345.039519546202,432.56489026698233,11855.036041748514,3.9891599567606377,115.52073199017656,20.798194399201638,108.88083413415106,1.9972881506584466,92.76590296508381,9.75799406763849,85.71259398521957,1.3291739853021296,0.0903052729067565,0.060116625903028076,0.0038676217048703165,,,,,,,,,
04_decaying_beta_trend,Затухание (β 0.15→0.1),51.08008536613105,0.731583185478118,63.02848374529617,0.1569625871682954,7.14703332622222,0.8553263619684114,7.939048037724433,0.39618504157564477,5.464721259670956,0.5785842494118646,5.817431750140387,0.28403746898496535,0.13973668363001485,0.06016623482072431,0.003121329570350717,,,,,,,,,
05_complex_beta_gamma_dynamics,Сложный (β+γ),288.7331940221703,67.14876071983227,241.3280364280844,40.67452747096406,16.992150953371688,8.194434740714717,15.53473644540146,6.3776584630226205,9.844791832268948,5.030764999444362,10.82997577355927,5.039603857113096,0.10445410809359712,0.06246447338700889,0.0042999813689450495,,,,,,,,,
02_lockdown_beta_jump_noise_3pct_seed42,Локдаун + шум 3%,14.823813154410146,0.26531176920987154,3.0122010925394753,0.05157285800804817,3.8501705357568445,0.5150842350624523,1.7355693856885916,0.22709658299509522,2.9385539047861218,0.38254176424133635,1.2335514046416747,0.18296882859533664,0.06821352242897932,0.06206056451824693,0.0036613943012298034,,,,,,,,,
02_lockdown_beta_jump_noise_5pct_seed123,Локдаун + шум 5%,25.070890581241297,0.4876154252765076,7.0165992203036325,0.02218930915538503,5.007084039762194,0.6982946550536583,2.6488864113630153,0.14896076381176698,3.7925554912903707,0.5677506414410295,1.8528859268302398,0.11915977175351494,0.06761955618564797,0.06147873755144467,0.0035913926355908288,,,,,,,,,
02_lockdown_beta_jump_noise_10pct_seed456,Локдаун + шум 10%,94.6792620168047,1.6838862605974911,53.1533419610147,0.4438970234591372,9.730326922401153,1.2976464312737468,7.2906338518001785,0.6662559744265992,7.1741788781835325,1.0695167946870425,5.134952436199735,0.5265661941250367,0.06666806715736323,0.060410428084000156,0.003675565542962056,,,,,,,,,
05_complex_beta_gamma_dynamics_noise_3pct_seed42,Сложный + шум 3%,341.7351644628388,76.74238789504079,256.5002568300432,25.801638950306995,18.486080289310625,8.760273277417822,16.015625396157443,5.079531371131297,10.151170126461462,5.837275145544566,10.399235125123358,4.140363232934277,0.10475571201830752,0.06252438271388977,0.003994599050956837,,,,,,,,,
05_complex_beta_gamma_dynamics_noise_5pct_seed123,Сложный + шум 5%,273.5876878607671,84.56257350732919,289.7418649355835,43.042129947554024,16.54048632479611,9.195791075667671,17.02180557213551,6.5606501162273565,10.675756726365941,6.609276182824023,12.440022747424338,5.386071072150078,0.1041432948947425,0.06271662552200286,0.004410756259711657,,,,,,,,,
05_complex_beta_gamma_dynamics_noise_10pct_seed456,Сложный + шум 10%,346.0515424374615,140.01243010283125,202.8233024852197,215.2720222103448,18.60246065544721,11.832684822255313,14.24160463168458,14.672151246846687,10.850154780109273,8.885913747858512,9.58012772535919,11.886422032564678,0.09938477112507138,0.05809105615165949,0.005052619714544793,,,,,,,,,
