dataset,description,S_MSE,I_MSE,R_MSE,D_MSE,S_RMSE,I_RMSE,R_RMSE,D_RMSE,S_MAE,I_MAE,R_MAE,D_MAE,mu_RMSE,mu_R2,beta_RMSE,beta_R2,gamma_RMSE,gamma_R2
01_baseline_constant,Базовый (константы),11630.30698731884,114.07527494089368,9458.869522716734,16.05463791857724,107.8439010204974,10.680602742396783,97.25671967898533,4.006823919088189,76.54514137483335,7.00796269544438,66.83403063957167,2.7027333772539412,0.00024981041932582303,-3.3180319816131774e+29,,,,
02_lockdown_beta_jump,Локдаун (скачок β),18.492205920443713,0.24061207389888578,14.90455081926051,0.03741239675423945,4.300256494727229,0.4905222460795084,3.8606412445681237,0.19342284444770078,3.306778955273481,0.3985198300781362,2.8484015254968607,0.1441534170360737,0.0006631701737078734,-2.3383496004685377e+30,0.06896809341045923,-5.321178863634044,,
03_seasonal_beta_sin,Сезонность (плавная β),66794.2847487478,16535.7779563089,12630.745186079968,447.4191933892397,258.44590294440303,128.59151587997124,112.38658810587663,21.15228577221005,197.89110585265598,99.14816842572824,83.72624294315156,14.769962384717372,0.001412133906408397,-1.0602572059540852e+31,0.06568447947031128,-2.56132229482896,,
04_decaying_beta_trend,Затухание (β 0.15→0.1),43.7607107550225,0.2537259122206421,29.22927877567936,0.5286787947925006,6.615187885088563,0.5037121322944704,5.406410895934507,0.7271030152547165,5.0101896443554255,0.4148460813694532,3.984589871038256,0.5735129402138646,0.0014878869864139198,-1.1770620605233464e+31,0.3093896107573747,-455.961372045065,,
05_complex_beta_gamma_dynamics,Сложный (β+γ),63083.53118650949,915.6191815007212,50833.4768352062,131.53495587950968,251.16435094676453,30.25919994812687,225.46280587983065,11.46886898868017,189.69937979772715,17.975628885628712,164.5773167901382,8.420340321296278,0.05034032408562471,-1.3473843086065381e+34,0.07942908678979156,-13.13258257475319,0.02789496414010544,-9.786492730091673
02_lockdown_beta_jump_noise_3pct_seed42,Локдаун + шум 3%,17.440592577354316,0.3773092870682867,13.366062657359436,0.047098098690120604,4.176193551232308,0.6142550667827549,3.65596261706263,0.21702096371115995,3.2195538891396347,0.467932966444487,2.6786867929900113,0.1750260783700183,0.0009120529452680198,-4.422823121130784e+30,0.06727703760647177,-5.014996219732442,,
02_lockdown_beta_jump_noise_5pct_seed123,Локдаун + шум 5%,19.949214446131915,0.5660279658332579,16.04512771383363,0.056072212814301615,4.466454348376564,0.7523483008774977,4.005636992268974,0.23679571958610574,3.447742628117984,0.5688167810460033,2.941514766112829,0.1903785169344488,0.00137196053815259,-1.0007894321925312e+31,0.06961534040427494,-5.4403807144796605,,
02_lockdown_beta_jump_noise_10pct_seed456,Локдаун + шум 10%,17.951128724423178,1.5981554284537658,14.435085739794431,0.10485037577415192,4.236877237355737,1.2641817228760135,3.7993533317914023,0.3238060774200384,3.2583136948517835,0.9267096976577145,2.7845039159592564,0.2558615854373508,0.0007704707639541796,-3.1562529293148117e+30,0.06571059181262737,-4.738156593556029,,
05_complex_beta_gamma_dynamics_noise_3pct_seed42,Сложный + шум 3%,47997.212578050036,682.6438248175091,36286.63586993437,254.50399556712995,219.08266151854656,26.127453469818086,190.49051385812987,15.953181361945646,164.74258851666409,15.932820625036484,138.11988729330227,12.434060934448583,0.02897237193368495,-4.4630070684548343e+33,0.06555857682300378,-8.627675125197456,0.012796473588511844,-1.2699131954148184
05_complex_beta_gamma_dynamics_noise_5pct_seed123,Сложный + шум 5%,43482.40646433648,495.2553866488603,33515.85584113153,257.9520236990202,208.5243546071693,22.254334109311387,183.07336191027773,16.060884897757663,156.15543973974044,13.903266803464817,132.71870115613515,12.578001397216276,0.007118679491595892,-2.6943769268552365e+32,0.0816820023024231,-13.94566155099207,0.048781575240380945,-31.986807102205034
05_complex_beta_gamma_dynamics_noise_10pct_seed456,Сложный + шум 10%,54140.52966742958,821.3803180614419,41376.46911036019,258.47508826330346,232.68117600577315,28.659733391318245,203.4120672682921,16.077160453988867,174.99200923409137,18.85711768504286,147.5888250939759,12.740416568623496,0.006398936730231771,-2.1770835844971444e+32,0.05831006510949682,-6.616394759505179,0.01894974401658123,-3.9777758403541927
