dataset,description,S_MSE,I_MSE,R_MSE,D_MSE,S_RMSE,I_RMSE,R_RMSE,D_RMSE,S_MAE,I_MAE,R_MAE,D_MAE,mu_RMSE,mu_R2,beta_RMSE,beta_R2,gamma_RMSE,gamma_R2
01_baseline_constant,Базовый (константы),4432.118468569085,38.74617134938181,2860.221859879828,94.40511573153024,66.5741576632336,6.22464226677982,53.48104206052672,9.716229501793906,50.78185538886005,3.9650749968175782,39.59125221295267,7.209525235409975,0.0016777501184983006,-1.4966285557603952e+31,,,,
02_lockdown_beta_jump,Локдаун (скачок β),34.44253815772563,0.05222022275423642,28.140216933092397,0.142383481049421,5.868776546924037,0.228517445185781,5.304735331106765,0.37733735708172467,4.055134323948835,0.18477300717678127,3.6126501027667555,0.2527123116897744,0.005209805327898331,-1.4431200549587544e+32,0.06288960744704368,-4.256049013979194,,
03_seasonal_beta_sin,Сезонность (плавная β),118576.94620114364,1295.1418244345152,98577.93404107862,230.5588752669026,344.3500344143204,35.988078921144364,313.9712312315869,15.184165280544814,277.41066911984706,18.986336412442576,246.69279940296587,11.88363440098522,0.0010341369709125053,-5.686114494403954e+30,0.08302274959003188,-4.689576985608748,,
04_decaying_beta_trend,Затухание (β 0.15→0.1),12513.055107885812,1189.41507738308,7243.621482182575,155.38466210943764,111.8617678560723,34.487897549474944,85.10946764128286,12.465338427392881,93.23023431016006,22.06043887126572,66.93841660357431,9.987089851842821,0.0010829227635865309,-6.23525812285668e+30,0.26890913342590933,-344.20664254457324,,
05_complex_beta_gamma_dynamics,Сложный (β+γ),4898.897674854303,562.8346950449194,3349.6795447320796,52.068373135964755,69.99212580608123,23.724137393062776,57.87641613586729,7.215841817554259,56.928569058662276,17.789401861713795,44.83003657204346,5.192992542849732,0.0020928047364251645,-2.3287179462728817e+31,0.027215621376162933,-0.6592006211670878,0.020891992825750685,-5.050459751079118
02_lockdown_beta_jump_noise_3pct_seed42,Локдаун + шум 3%,7.296631735181134,0.14676631332127701,2.2628937893406267,1.1362297302767785,2.7012278199332123,0.38310091793322165,1.5042917899598558,1.0659407724056615,1.80387939185906,0.30289509906596773,0.94740632222304,0.8274964942956429,0.00850088502603652,-3.842268902405865e+32,0.039116302087468045,-1.0333737914863463,,
02_lockdown_beta_jump_noise_5pct_seed123,Локдаун + шум 5%,1.207932190065082,0.33918259349935037,0.20302229976993383,0.3432906258363254,1.09905968448719,0.5823938474085646,0.450579959352315,0.5859100834055729,0.8428495254412656,0.45101902717166303,0.32149186172810384,0.46510791311096045,0.007875174813469853,-3.297462589852438e+32,0.01002215642153596,0.8665176044443893,,
02_lockdown_beta_jump_noise_10pct_seed456,Локдаун + шум 10%,157.21035883713395,1.852617291174833,159.40121190117134,0.48190151989949165,12.538355507686562,1.3611088461893242,12.625419276252623,0.6941912703999465,9.106155871062622,1.1172866138297055,9.001859532434947,0.585080346214222,0.0021700852810908394,-2.503877477118912e+31,0.03341593940468263,-0.48391487444025216,,
05_complex_beta_gamma_dynamics_noise_3pct_seed42,Сложный + шум 3%,2145.477454833615,383.85540402459765,878.9816938972411,10.057484163119913,46.319298945834824,19.59222815364801,29.647625434379076,3.171353679916498,31.027530848628626,11.92021270939561,20.424484292841345,2.551118576567994,0.0018139606779324657,-1.74950507991779e+31,0.04476131301392642,-3.4881568684889617,0.022054388185960064,-5.742464509404537
05_complex_beta_gamma_dynamics_noise_5pct_seed123,Сложный + шум 5%,6389.07806431672,366.15610441079815,5637.678467586603,6.3232446769670885,79.93170875389015,19.135205888905354,75.08447554312811,2.514606266787524,63.46667850703401,11.12972597762049,58.909872287423745,1.9788761249552729,0.0012481756161682972,-8.283442449698339e+30,0.02499901432483035,-0.3999359415610202,0.014564656645702119,-1.9405538828141098
05_complex_beta_gamma_dynamics_noise_10pct_seed456,Сложный + шум 10%,13275.887163570298,952.5213347267716,12937.739890867862,172.0837681447763,115.22103611567768,30.862944362564818,113.74418618491173,13.118070290434348,94.24264287952042,18.864809623367698,90.54519341721148,10.426759178173196,0.002399690985101951,-3.0617527106528344e+31,0.032875493527275056,-1.4210678196138251,0.019227266352831906,-4.124644286117183
